username|email|role|dr|brand|date|nbtransacm0|nbtransacytd|txtransacnpem0|txtransacnvem0|txtransacnpeytd|txtransacnveytd|txtransacnpesm0|txtransacnvesm0|txtransacnpesytd|txtransacnvesytd|txtransacnpesam0|txtransacnvesam0|txtransacnpesaytd|txtransacnvesattd|ranknpem0|ranknpeytd|ranknpesm0|ranknpesytd|ranknpesam0|ranknpesaytd|nbreclientscontactablesemailh|nbreclientsinactifsemailh|nbreclientsanimesm0|nbreclientstransformesm0|caclientstransformesm0|cacrmytd
013 NICE LINGOSTIERE|nicelingostiere13@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|393|1688|19.08|2.29|29.98|4.32|17.81|2.04|28.26|4.15|17.56|2.29|27.43|4.38|113|77|109|63|76|34|2109|381|16|16|1586.5|6819.5
014 NICE TNL|nicetnl14@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|493|1991|24.34|4.26|18.43|3.21|23.53|4.06|17.08|3.06|22.72|4.06|16.37|2.91|100|116|88|107|56|73|2500|342|12|12|586.2|5008.55
016 SAINT PRIEST|stpriest16@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|550|2519|59.09|10.00|53.55|6.71|54.91|9.09|50.30|6.11|52.73|10.73|46.88|8.30|11|6|11|5|4|5|4724|742|45|44|1956.2|19104.05
017 ECULLY|ecully17@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|769|3188|24.06|1.56|23.24|1.38|22.50|1.56|20.83|1.32|15.99|1.43|16.37|1.25|103|103|96|95|80|72|2001|235|37|37|3939.5|9493.95
018 TOULON MAYOL|Toulonmayol18@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|373|1635|52.82|10.46|38.47|6.48|50.13|10.46|36.02|6.12|44.77|9.38|28.69|5.93|26|36|20|32|13|31|3033|418|21|18|1883|6322.58
019 PORTET S/ GARONNE|toulouseportet19@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-31|492|2024|53.66|11.38|38.74|5.78|51.02|10.16|36.56|5.34|48.17|10.16|34.78|5.58|22|34|16|31|9|22|4976|605|35|32|2588.7|7365.74
020 TOULOUSE GRAMONT|toulousegramont20@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-31|657|2745|37.75|8.68|30.97|6.23|33.33|6.54|26.45|4.70|32.27|6.70|23.57|4.44|61|72|61|73|33|45|2701|233|22|22|1211|4229.61
021 BORDEAUX LE LAC|bordeauxlelac21@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-31|644|2586|27.33|2.33|27.46|1.78|25.31|2.17|25.33|1.62|10.25|0.62|12.61|1.08|91|88|83|79|106|94|5979|753|37|36|3194.6|10084.72
024 NICE ETOILE|niceetoile24@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|924|3615|25.32|3.03|27.22|3.35|23.27|2.81|25.39|3.21|22.29|2.38|23.65|2.74|96|89|89|78|58|43|3207|582|27|26|1348.2|7614.56
026 PONTAULT COMBAULT|pontault26@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|542|2427|65.50|5.17|46.48|3.54|61.44|5.35|42.60|3.46|17.53|1.85|13.97|1.65|4|16|5|15|78|86|3165|320|38|38|2797|8087.39
027 CLAYE SOUILLY|clayesouilly27@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|667|2884|55.17|5.70|43.65|4.26|50.97|6.90|41.05|4.54|13.79|4.20|13.14|3.12|18|26|17|19|92|92|2569|202|33|31|2573|8647.98
028 FACHES THUMESNIL|Faches28@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-31|755|3219|41.19|2.25|37.34|1.93|37.88|2.12|33.74|1.71|32.58|1.99|25.66|1.86|49|41|44|38|32|39|4889|706|58|57|3718.6|14694.42
029 RONCQ|Roncq29@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-31|825|3710|32.85|25.94|23.21|10.03|19.76|8.48|15.31|4.23|17.82|7.39|12.61|4.02|78|104|100|115|72|93|3280|342|33|33|2678.4|8690.26
030 SAINT GENIS 2|stgenis30@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|618|2566|48.38|3.07|45.95|2.69|44.01|2.91|40.76|2.22|41.91|3.24|37.26|2.18|33|19|31|20|15|14|3928|552|46|45|2360.8|10018.53
031 NOYELLES GODAULT|Noyelles31@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-31|398|1898|38.94|18.09|39.15|8.27|36.18|16.83|30.77|7.06|10.30|5.03|8.38|3.00|58|32|50|52|105|114|3844|499|19|19|1211.75|7724.72
032 ST BRICE SOUS FORET|Stbrice32@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|495|1982|25.05|1.82|25.08|1.77|22.63|1.82|22.15|1.66|14.55|1.82|14.68|1.51|98|96|93|90|88|82|1881|269|19|19|2501|7344.47
033 ST SEBASTIEN S/ LOIRE|stsebastien33@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-31|614|2669|25.73|5.86|27.73|5.77|21.82|5.05|23.04|5.17|21.50|5.37|22.56|5.28|95|86|97|88|60|52|3871|519|20|20|2224.3|7669.75
036 MONTESSON|montesson36@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|556|2107|58.27|11.51|44.42|7.83|56.12|11.33|41.53|7.31|19.24|6.12|15.38|4.37|13|21|8|16|68|79|2630|320|35|32|2511.9|8921.41
037 CAP 3000|cap300037@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|311|1355|27.65|2.89|33.21|3.03|26.69|2.57|31.51|2.88|24.76|2.25|29.52|2.73|90|57|79|49|49|29|2079|301|23|22|1885.3|7246.88
038 VALENCE|valence38@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|325|1503|55.69|10.46|52.23|9.38|51.08|9.85|49.37|8.65|31.38|3.69|36.19|5.39|17|8|15|6|35|19|3322|398|24|24|1826.7|8816.29
040 VENETTE|Venette40@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-31|490|2035|46.53|4.29|42.90|4.13|43.67|4.08|40.25|3.78|37.76|3.47|33.32|3.39|36|27|32|21|21|25|1932|294|21|21|1282|5290.15
041 VALTHOIRY|valthoiry41@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|810|3223|32.96|9.75|31.24|9.65|21.23|6.91|19.30|6.73|18.15|7.04|16.85|6.52|76|70|99|99|71|68|2476|245|45|45|6998.9|17728.77
042 LA VILLE DU BOIS|Villedubois42@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|637|2658|16.33|1.10|11.21|0.83|13.81|1.10|9.52|0.64|8.32|0.94|7.07|0.71|121|128|120|126|115|118|1367|159|27|27|1824.3|5150.56
044 CERGY PONTOISE|Cergy44@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|535|2361|49.16|5.61|34.05|3.26|40.75|5.23|31.34|3.05|13.27|1.68|12.28|1.23|30|54|37|50|95|96|3103|337|25|25|2896.3|10252.75
046 AVIGNON MISTRAL 7|avignonmistral46@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|442|1912|27.83|3.62|31.49|3.29|25.34|3.62|29.55|3.19|7.24|0.90|8.47|1.41|89|68|82|57|120|113|2249|390|18|16|1584.4|8940.38
048 BORDEAUX ST MEDARD|bordeauxmedard48@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-31|522|2143|42.15|4.60|32.34|2.52|37.36|4.41|28.18|2.33|37.36|4.41|28.00|2.29|45|61|46|64|22|33|2276|317|23|23|1145.25|4837.9
049 NOISY LE GRAND|noisy49@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|638|2909|51.10|6.43|32.14|4.47|48.43|5.17|29.60|3.95|14.89|4.86|10.18|2.61|28|62|23|56|85|103|2382|221|42|40|2284|6865.13
051 LE MANS|lemans51@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-31|667|2678|52.62|6.15|39.02|3.77|47.83|5.55|35.32|3.47|47.38|5.85|34.99|3.62|27|33|25|33|10|21|5290|565|61|58|3777.25|12137.63
053 STRASBOURG LES HALLES|strasbourg53@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-31|317|1316|54.26|18.93|48.25|13.98|50.16|16.40|41.11|12.23|34.07|13.25|14.44|5.47|21|12|19|18|29|84|2511|342|27|21|1829.65|5720.6
054 CENTRE 2 ST ETIENNE|stetienne54@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|404|1882|59.16|4.21|60.26|3.99|55.69|3.47|56.75|3.77|55.45|3.47|56.06|4.04|10|3|10|3|3|1|5584|832|51|49|4322.3|18237.77
055 GRENOBLE GRAND PLACE|Grenoblegdplace55@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|542|2478|48.15|4.24|47.54|4.24|45.94|4.06|44.15|3.75|26.57|2.21|23.00|1.90|34|14|29|11|45|49|4835|748|53|53|3877.3|15382.65
057 GONFREVILLE|Gonfreville57@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-31|567|2433|55.91|5.29|51.71|6.00|53.26|4.59|47.39|5.14|52.56|4.59|46.49|5.06|16|10|12|9|5|6|6714|830|73|73|5348.2|18690.3
062 VELIZY|velizy62@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|768|3264|71.74|8.72|50.95|6.74|65.49|8.33|46.02|6.40|13.67|1.82|12.25|1.90|3|11|3|10|93|97|6043|706|68|65|9562.55|25867.67
063 MERIGNAC|merignac63@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-31|765|3108|30.72|2.88|28.31|1.87|24.31|2.35|24.20|1.48|17.78|1.57|18.21|1.25|83|83|86|85|73|64|5003|620|32|31|2420.3|8943.24
064 CARRE SENART|carresenart64@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|521|2226|35.32|3.45|33.83|2.96|30.71|2.30|29.34|2.43|17.66|1.54|16.40|1.62|68|55|69|59|75|71|3163|499|32|32|2370.35|9795.23
066 CRETEIL|creteilsoleil66@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|765|3168|61.57|9.15|44.03|6.94|47.06|7.06|32.61|5.49|9.41|5.23|6.94|3.88|8|23|26|43|109|120|5193|562|44|40|3233.2|9130.35
067 TOURS|Tourscentre67@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-31|550|2285|24.18|4.18|19.47|3.24|19.27|3.27|14.79|2.10|18.55|3.45|14.14|2.19|101|115|105|117|69|85|1963|187|14|13|1964|6101.45
071 BAY 2 TORCY|bay2torcy71@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|671|2821|53.06|7.45|37.22|5.49|46.20|6.41|32.97|4.89|12.07|3.73|10.60|3.23|25|42|28|41|101|101|2905|336|57|56|4693.1|13863.16
072 BRETIGNY|Bretigny72@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|839|3812|9.42|1.31|13.51|1.94|7.63|0.72|11.02|1.57|4.17|0.48|7.11|1.08|128|125|127|125|127|117|2665|429|19|19|1689.9|7658.79
073 EVRY 2|evrydeux73@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|495|2045|15.76|1.82|20.59|2.79|12.12|1.21|17.46|2.40|9.70|0.81|16.23|2.59|123|110|123|105|108|75|1283|244|8|8|1354|4249.83
074 CAEN CENTRE VILLE|Caen74@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-31|491|1955|39.51|2.44|37.14|1.89|36.05|2.24|33.35|1.74|36.05|2.24|33.30|1.79|56|43|51|39|26|26|3956|508|37|36|1251.4|6627.79
075 NANCY|Nancy75@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-31|605|2563|42.98|3.47|26.92|2.30|30.58|2.31|19.27|1.52|23.64|2.48|16.35|1.83|42|91|70|100|53|74|3267|398|29|28|1660.9|4625.16
077 SENS|sens77@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|133|133|133|133|133|133|443|43|0|0|0|142
079 ECHIROLLES|echirolles79@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|522|2108|34.48|7.09|32.97|3.98|31.61|6.13|29.84|3.51|24.71|6.13|23.48|3.51|71|58|67|55|50|46|3586|432|31|30|2010.1|6735.31
080 LILLE TANNEURS|lille80@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-31|738|3071|54.34|6.64|55.91|6.06|47.02|5.28|48.78|5.11|45.26|6.50|47.80|5.60|20|5|27|7|12|4|5414|845|74|73|3222.5|12861.84
081 Cora HOUDEMONT|Nancy81@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-31|884|3790|30.77|4.52|31.74|4.20|16.06|2.26|21.77|2.64|15.61|2.38|21.19|2.72|82|64|115|93|82|57|6303|780|48|48|2628.4|14924.78
092 BRY SUR MARNE|092brysurmarne@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|134|134|134|134|134|134|1119|130|4|4|399.6|1358
106 ROUEN|rouen106@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-31|526|2222|24.90|2.09|25.88|2.61|21.29|2.28|21.96|2.48|20.91|2.28|21.29|2.66|99|95|98|91|61|54|2919|372|29|26|1750.4|6398.58
116 COQUELLES|Calais116@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-31|571|2460|32.92|5.78|22.28|2.68|27.32|4.73|18.82|2.11|27.32|4.55|18.54|2.24|77|106|76|102|43|63|2454|379|16|15|690.1|3858.34
120 BREST|brest120@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-31|581|2555|22.03|2.41|14.52|1.17|19.28|2.07|12.80|0.98|18.24|1.89|12.56|0.94|109|123|104|121|70|95|1395|165|12|12|873|4776.06
122 ANGERS|angers122@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-31|502|2154|48.80|2.59|39.83|2.69|43.43|2.19|33.84|2.23|42.83|1.99|33.52|2.18|31|31|35|37|14|24|4237|543|16|15|1582.3|8110.5
127 MONTPELLIER|montpellier127@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-31|428|1894|22.66|4.44|17.95|3.96|19.63|3.74|15.68|3.43|14.49|4.91|10.56|3.54|108|117|101|113|89|102|1189|152|6|6|767.1|3248.92
132 ARGENTEUIL|argenteuil132@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|832|2968|26.68|6.49|30.56|7.35|23.08|5.89|27.32|6.57|17.67|3.25|23.21|5.26|92|75|90|67|74|47|2373|489|46|45|5055.2|14669.33
136 LYON PART DIEU|lyonpartdieu136@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|1105|4733|20.90|4.07|14.83|3.66|18.46|3.71|12.23|3.21|4.62|1.18|3.44|1.14|110|121|107|124|126|128|2006|176|18|16|1355.3|8120.13
139 TOURS|Stpierredescorps139@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-31|790|3127|8.35|0.51|12.06|0.51|6.20|0.38|8.95|0.35|6.08|0.38|8.76|0.42|129|127|129|128|123|109|2887|394|15|15|531.4|5422
141 PARIS LA DEFENSE|ladefense141@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|1388|5984|24.06|4.47|20.47|3.56|22.55|4.25|18.98|3.36|7.64|2.59|8.22|3.41|102|111|94|101|117|115|6311|658|42|39|4803.65|16524.02
142 PARIS PASSAGE DU HAVRE|Passageduhavre142@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|1542|6825|37.68|7.20|36.41|5.83|33.14|6.49|30.18|4.82|11.22|2.79|11.72|2.99|62|47|62|54|103|98|7371|778|57|50|5200.1|15635.06
143 ORLEANS|orleans143@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-31|670|2658|34.63|6.12|31.64|3.65|29.55|5.52|27.61|3.39|29.10|5.67|26.71|3.42|70|65|73|66|38|35|3004|454|31|30|3421.15|11419.84
145 PARIS LES HALLES|Forum145@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|918|3616|12.85|1.63|14.80|2.16|9.48|0.98|12.28|1.55|7.41|1.96|9.90|2.93|125|122|125|123|118|104|2396|333|13|13|1228.6|4436.5
149 PARIS RUE DE RENNES|ruederennes149@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|711|2948|20.11|2.39|23.20|3.02|16.32|1.97|19.37|2.37|7.31|1.13|8.75|2.20|111|105|113|98|119|110|3150|487|27|27|1942|8351
153 LE HAVRE|Lehavrecoty153@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-31|743|3112|43.61|4.04|26.74|2.25|33.51|2.96|15.20|1.32|32.97|2.96|14.75|1.41|41|92|60|116|31|81|3470|475|53|53|3044|10968.71
155 LORIENT|Lorien155@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-31|755|2957|10.33|0.13|6.49|0.41|7.02|0.13|5.14|0.41|6.09|0.13|4.77|0.47|127|130|128|129|122|126|986|177|7|7|559.3|1542.5
156 MARSEILLE|marseillebourse156@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|239|1180|18.83|4.18|15.85|3.39|16.74|4.18|14.66|3.22|12.55|4.18|9.66|2.80|114|119|111|118|99|106|838|117|3|2|143|2056.55
182 TROYES|Troyes182@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|135|135|135|135|135|135|1503|159|0|0|0|71
191 VAL D'EUROPE|valdeurope191@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|967|4449|62.77|12.51|36.79|6.97|57.91|11.69|33.11|6.05|14.37|3.52|10.99|2.47|7|46|7|40|90|100|7277|855|68|64|6294.3|17065.73
193 ANNECY|annecy193@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|814|3228|30.59|3.81|30.95|3.04|27.64|3.44|28.47|2.70|27.52|3.56|28.10|2.82|84|73|75|61|42|32|3039|503|22|21|1617.3|9833.07
194 VILLENEUVE D'ASCQ|Villeneuve194@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-31|683|2973|34.70|18.16|26.94|11.30|27.09|15.81|20.79|9.08|5.71|4.83|7.06|2.79|69|90|77|96|124|119|2204|270|26|25|1985.25|5878.48
195 PAU LESCAR|pau195@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-31|621|2486|17.55|3.38|16.57|2.33|14.33|2.25|12.35|1.73|13.04|2.58|11.30|1.93|119|118|119|122|97|99|1394|189|11|11|1423|3921.8
196 BELLE EPINE|belleepine196@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|694|3005|57.64|15.85|34.18|6.36|55.76|15.71|32.35|6.19|12.10|6.77|8.52|2.63|14|53|9|44|100|112|3872|368|52|49|5081.7|12406.17
200 ROSNY|rosny200@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|566|2553|63.07|8.83|46.06|5.64|60.07|7.95|41.52|4.97|19.26|3.18|15.67|2.39|6|18|6|17|67|78|4478|656|37|36|4038.7|13725.16
204 MARSEILLE|bonneveine204@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-31|239|1130|46.44|5.86|37.88|5.93|43.51|5.86|34.51|5.93|38.49|5.86|30.44|5.58|37|38|34|35|19|28|1466|189|12|11|400.3|2155.22
205 Montmartre|montmartre205@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|512|2403|40.23|7.23|24.18|4.12|36.91|7.03|21.72|3.87|9.18|1.95|5.99|1.66|54|99|48|94|110|123|1939|167|23|23|7653.15|15030.25
206 Commerce|commerce206@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|647|2625|46.68|4.79|47.28|4.65|43.59|4.17|43.54|4.30|38.49|4.02|37.60|4.08|35|15|33|13|20|12|2564|407|51|50|2999.4|12796.75
207 GARE DE L'EST|207garedelest@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-31|346|1704|53.47|21.10|36.85|10.68|48.55|18.21|32.63|9.57|8.67|6.36|5.63|4.17|23|45|22|42|114|124|2966|363|25|24|1576.2|6181.69
209 TAVERNY|209taverny@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|628|2449|18.15|1.43|21.76|1.88|15.29|1.27|16.13|1.39|12.74|0.80|13.92|1.31|117|107|118|112|98|87|1452|210|22|21|1525.4|7279.74
215 Passy|passy215@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|684|2847|28.95|4.09|32.10|5.02|24.56|3.80|24.45|4.11|22.66|3.65|22.69|4.11|87|63|85|84|57|51|3016|451|33|33|3147.9|12043.27
217 Lyon confluence|217lyonconfluence@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|404|1583|71.78|9.65|64.88|6.25|66.09|7.92|59.51|5.75|49.75|7.92|36.13|4.11|2|2|2|2|8|20|4696|630|38|38|2580.8|9526.92
219 Saint Michel|219stmichel@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|506|2027|11.26|0.99|14.16|1.18|10.28|0.99|13.07|0.99|8.10|0.99|8.83|1.13|126|124|124|120|116|108|1422|158|12|12|962.6|3109.91
220 Beaugrenelle|220beaugrenelle@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-31|908|3635|35.90|4.96|26.00|3.38|31.28|4.19|22.94|3.14|29.19|4.41|21.27|3.36|67|94|68|89|37|56|3070|358|36|35|3427.3|9799.3
221 Dijon Toison|221dijontoison@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-31|368|1512|74.46|4.35|69.25|6.42|68.21|3.80|63.03|5.56|64.13|4.08|53.90|4.89|1|1|1|1|1|2|5658|886|36|33|3689.6|17648.18
