username|email|role|dr|brand|date|nbtransacm0|nbtransacytd|txtransacnpem0|txtransacnvem0|txtransacnpeytd|txtransacnveytd|txtransacnpesm0|txtransacnvesm0|txtransacnpesytd|txtransacnvesytd|txtransacnpesam0|txtransacnvesam0|txtransacnpesaytd|txtransacnvesaytd|ranknpem0|ranknpeytd|ranknpesm0|ranknpesytd|ranknpesam0|ranknpesaytd|nbreclientscontactablesemailh|nbreclientsinactifsemailh|nbreclientsanimesm0|nbreclientstransformesm0|caclientstransformesm0|cacrmytd
018 TOULON MAYOL|Toulonmayol18@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|413|2048|55.45|0.73|42.04|5.32|52.06|0.97|39.45|5.08|46.73|0.48|32.52|4.83|31|35|27|28|16|27|3083|448|1322|32|2218.9|7368.75
019 PORTET S/ GARONNE|toulouseportet19@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|512|2536|54.69|0.78|42.07|4.73|50.98|0.78|39.59|4.38|45.31|0.98|37.03|4.61|32|34|30|26|17|20|5049|651|2008|32|2309.7|11081.49
020 TOULOUSE GRAMONT|toulousegramont20@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|714|3459|42.02|0.28|33.30|4.94|37.39|0.14|28.79|3.73|35.99|0.28|26.25|3.56|71|68|65|67|35|40|2778|356|1324|27|1846.2|6237.01
021 BORDEAUX LE LAC|bordeauxlelac21@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|627|3213|23.76|0.00|26.80|1.43|20.57|0.00|24.46|1.31|10.21|0.00|12.20|0.87|113|98|112|90|112|97|6008|743|2048|39|2764|11909.11
024 NICE ETOILE|niceetoile24@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|944|4559|31.36|0.42|28.10|2.74|27.65|0.32|25.88|2.61|25.32|0.53|24.02|2.28|97|92|97|82|60|48|3275|618|1760|31|2391.6|10932.08
026 PONTAULT COMBAULT|pontault26@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|610|3037|68.03|0.33|50.94|2.90|64.75|0.33|47.18|2.83|17.54|0.98|14.75|1.51|13|13|8|12|87|91|3272|415|1762|51|4679.1|13036.56
027 CLAYE SOUILLY|clayesouilly27@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|769|3653|60.73|0.39|47.39|3.45|57.22|0.78|44.59|3.75|17.30|1.30|14.10|2.74|24|21|18|17|88|93|2687|353|1652|62|5478|13429.88
028 FACHES THUMESNIL|Faches28@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|897|4116|49.83|0.00|40.09|1.51|43.92|0.00|36.01|1.34|37.24|0.22|28.21|1.51|47|43|44|41|32|33|4961|755|2402|76|4610.5|19908.29
029 RONCQ|Roncq29@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|1015|4725|58.82|0.20|30.92|7.89|30.94|0.10|18.69|3.34|26.11|0.20|15.51|3.20|27|80|88|108|58|85|3437|408|1454|43|3366.5|12011.26
030 SAINT GENIS 2|stgenis30@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|646|3212|46.28|0.46|46.01|2.21|39.01|0.46|40.41|1.84|33.59|0.46|36.52|1.81|56|23|58|24|41|23|3969|606|1934|51|3006.3|13523.38
031 NOYELLES GODAULT|Noyelles31@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|422|2320|68.48|1.18|44.61|6.94|64.69|1.18|37.07|5.99|15.64|0.95|9.83|2.59|10|27|9|39|95|106|3931|571|1575|27|1667.27|10306.35
032 ST BRICE SOUS FORET|Stbrice32@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|632|2614|27.53|0.47|25.67|1.45|25.16|0.32|22.88|1.34|17.25|0.00|15.30|1.15|105|102|100|96|89|87|1900|292|909|21|1519|8693.17
033 ST SEBASTIEN S/ LOIRE|stsebastien33@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|688|3357|44.77|0.15|31.34|4.62|38.95|0.15|26.42|4.14|37.79|0.15|25.80|4.23|60|77|59|80|29|42|3946|544|1697|36|2208.2|13511.39
036 MONTESSON|montesson36@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|653|2760|68.30|0.77|50.18|6.16|64.47|0.61|47.07|5.72|24.50|0.46|17.75|3.41|12|16|10|13|64|73|2706|362|1402|44|3273.6|11846.73
037 CAP 3000|cap300037@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|341|1696|22.29|1.17|31.13|2.59|21.41|1.17|29.60|2.48|18.48|0.88|27.42|2.30|116|79|110|62|84|38|2090|340|1039|25|1947.2|9758.07
038 VALENCE|valence38@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|381|1884|53.54|2.10|52.49|7.91|51.18|2.10|49.73|7.32|39.37|1.57|36.84|4.62|36|11|28|9|28|21|3338|470|1451|37|3373.2|11669.62
040 VENETTE|Venette40@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|551|2586|53.72|0.36|45.24|3.33|52.09|0.36|42.81|3.05|44.65|0.18|35.81|2.71|35|24|26|20|19|24|2000|399|1290|24|1431|6090.35
041 VALTHOIRY|valthoiry41@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|841|4064|39.00|2.02|33.00|7.90|23.90|1.66|20.37|5.56|21.88|1.66|17.96|5.41|80|70|102|101|70|70|2545|335|1383|71|5591|24251.51
042 LA VILLE DU BOIS|Villedubois42@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|688|3346|36.05|0.15|16.56|0.69|32.70|0.15|14.49|0.54|19.33|0.29|9.71|0.63|89|122|80|121|81|108|1423|152|653|31|2602.3|7845.01
044 CERGY PONTOISE|Cergy44@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|615|2976|69.27|0.33|41.43|2.62|66.18|0.33|38.64|2.45|20.00|0.33|13.98|1.04|7|40|6|34|78|94|3214|411|1580|35|1579.1|11725.55
046 AVIGNON MISTRAL 7|avignonmistral46@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|455|2367|27.47|0.00|30.71|2.66|25.71|0.00|28.81|2.58|5.27|0.00|7.94|1.10|107|82|99|66|127|117|2287|416|1185|19|1943.2|10543.18
048 BORDEAUX ST MEDARD|bordeauxmedard48@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|563|2706|51.87|0.36|36.51|2.07|45.65|0.36|31.93|1.92|45.29|0.36|31.71|1.88|40|58|40|55|18|29|2342|351|1184|36|2432|7780.95
049 NOISY LE GRAND|noisy49@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|658|3567|59.88|0.15|37.34|3.62|57.14|0.15|34.76|3.20|12.77|0.91|10.68|2.24|26|53|19|47|107|105|2485|292|1340|30|2161.2|8724.93
051 LE MANS|lemans51@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|648|3326|52.16|0.31|41.70|3.04|47.53|0.31|37.82|2.80|47.53|0.31|37.55|2.92|39|38|35|35|15|19|5356|608|2089|64|4430.2|16192.41
053 STRASBOURG LES HALLES|strasbourg53@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|304|1620|62.17|0.66|50.86|11.48|56.58|1.97|44.01|10.31|32.57|1.32|17.84|4.69|21|14|20|19|45|71|2549|364|1201|16|1230.1|8290.69
054 CENTRE 2 ST ETIENNE|stetienne54@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|373|2255|62.73|0.54|60.71|3.41|58.45|0.54|57.07|3.24|57.91|0.80|56.41|3.50|19|3|17|3|7|1|5616|939|2313|37|3464.3|22834.87
055 GRENOBLE GRAND PLACE|Grenoblegdplace55@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|635|3113|53.54|0.47|48.83|3.44|51.02|0.94|45.62|3.18|27.56|0.94|23.96|1.70|37|18|29|16|53|49|4899|821|2224|53|4363|19171.43
057 GONFREVILLE|Gonfreville57@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|574|3007|56.79|0.35|52.68|4.92|50.35|0.35|47.99|4.22|49.30|0.35|47.09|4.16|29|10|32|10|13|6|6770|869|2451|71|4414.2|24546.49
062 VELIZY|velizy62@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|684|3948|78.22|0.15|55.80|5.57|72.22|0.15|50.66|5.29|16.37|0.15|13.10|1.57|2|8|2|6|93|95|6184|856|3033|66|6017.3|29555.39
063 MERIGNAC|merignac63@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|791|3899|37.42|0.25|30.21|1.54|30.59|0.25|25.55|1.23|25.66|0.25|19.75|1.05|83|84|90|84|59|62|5046|666|1988|49|2696.2|12427.48
064 CARRE SENART|carresenart64@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|516|2742|44.77|0.39|35.92|2.48|40.50|0.19|31.47|2.01|21.32|0.19|17.36|1.35|61|59|52|58|71|75|3220|537|1619|33|2252|11969.35
066 CRETEIL|creteilsoleil66@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|811|3979|66.83|0.25|48.81|5.58|39.33|0.25|34.10|4.42|8.51|1.48|7.34|3.39|14|19|57|48|119|122|5324|658|2480|55|6755.2|29024.09
067 TOURS|Tourscentre67@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|561|2846|25.67|0.53|20.70|2.71|21.57|0.18|16.13|1.72|21.21|0.18|15.53|1.79|110|115|109|119|72|84|1970|226|812|17|1306|8154.62
071 BAY 2 TORCY|bay2torcy71@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|663|3484|61.09|1.06|41.79|4.56|54.75|0.75|37.14|4.02|13.57|1.81|11.19|2.87|23|37|21|37|104|104|3010|399|1592|58|3794.1|14743.86
072 BRETIGNY|Bretigny72@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|911|4723|14.82|0.22|13.83|1.61|12.40|0.11|11.35|1.29|9.22|0.11|7.58|0.89|126|124|125|125|116|119|2679|461|1081|22|1779.2|10280.62
073 EVRY 2|evrydeux73@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|491|2536|24.85|0.20|21.41|2.29|19.96|0.00|17.94|1.93|16.50|0.20|16.29|2.13|111|114|113|110|92|82|1324|266|685|11|1096.6|4655.61
074 CAEN CENTRE VILLE|Caen74@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|505|2460|44.75|0.40|38.70|1.59|41.19|0.40|34.96|1.46|40.99|0.59|34.88|1.54|63|46|50|45|23|25|4001|553|1786|58|2921.2|9235.67
075 NANCY|Nancy75@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|668|3231|50.75|0.30|31.91|1.86|42.51|0.15|24.17|1.21|29.49|0.15|19.22|1.45|44|73|48|91|52|64|3343|425|1439|31|2279.3|5718.31
077 SENS|sens77@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|132|133|132|133|132|133|441|43|128|0|0|142
079 ECHIROLLES|echirolles79@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|564|2672|51.24|0.00|36.83|3.14|46.45|0.00|33.35|2.77|35.64|0.00|26.05|2.77|42|56|38|52|37|41|3638|492|1460|38|1971|8743.76
080 LILLE TANNEURS|lille80@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|818|3889|62.22|0.49|57.26|4.86|53.79|0.37|49.86|4.09|52.93|0.61|48.91|4.53|20|5|22|8|9|5|5494|970|2961|70|4214|15968.81
081 Cora HOUDEMONT|Nancy81@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|1041|4831|50.53|0.38|35.87|3.35|31.89|0.10|23.99|2.07|20.65|0.38|21.11|2.19|46|60|84|92|75|61|6420|943|2736|74|5664|19434.65
092 BRY SUR MARNE|092brysurmarne@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|133|134|133|134|133|134|1112|118|393|5|439.76|1847.46
106 ROUEN|rouen106@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|540|2762|47.04|0.37|30.09|2.17|37.96|0.37|25.16|2.06|36.67|0.37|24.37|2.21|55|87|61|87|33|47|2978|420|1286|36|3276.5|8967.91
116 COQUELLES|Calais116@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|709|3169|42.88|0.00|26.95|2.08|36.53|0.00|22.81|1.64|35.26|0.28|22.31|1.80|66|97|69|97|38|55|2527|386|1287|28|2296.3|6029.65
120 BREST|brest120@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|606|3161|50.66|0.50|21.58|1.04|43.89|0.50|18.85|0.89|33.33|0.83|16.64|0.92|45|113|45|106|42|79|1498|200|766|17|1065|4389.26
122 ANGERS|angers122@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|530|2684|63.58|0.19|44.52|2.20|60.75|0.00|39.16|1.79|59.43|0.00|38.64|1.75|18|28|15|33|4|15|4288|607|1928|41|3924.95|13685.95
127 MONTPELLIER|montpellier127@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|570|2464|21.58|0.35|18.83|3.13|19.12|0.53|16.48|2.76|15.61|0.53|11.81|2.84|118|119|117|118|96|99|1216|167|554|11|491|3561.92
132 ARGENTEUIL|argenteuil132@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|395|3363|40.25|1.77|31.73|6.69|32.91|1.77|28.01|6.01|23.54|1.52|23.28|4.82|75|75|79|73|66|51|2371|521|1292|15|2278.7|14477.12
136 LYON PART DIEU|lyonpartdieu136@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|1154|5887|40.73|0.26|19.94|2.99|36.66|0.26|17.07|2.63|9.45|0.69|4.65|1.04|74|118|67|114|114|128|2188|268|1215|24|2518.6|11870.88
139 TOURS|Stpierredescorps139@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|723|3850|12.03|0.00|12.08|0.42|9.41|0.00|9.04|0.29|9.41|0.00|8.88|0.34|127|127|127|128|115|112|2903|411|1110|25|1541.1|8237.06
141 PARIS LA DEFENSE|ladefense141@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|1447|7431|33.17|0.21|22.96|2.91|30.06|0.21|21.15|2.75|14.44|0.69|9.45|2.88|94|107|93|100|100|109|6492|797|2701|54|5979.6|27138.87
142 PARIS PASSAGE DU HAVRE|Passageduhavre142@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|1645|8470|42.37|0.30|37.59|4.76|35.87|0.43|31.31|3.97|11.79|0.36|11.75|2.48|69|52|72|59|108|101|7472|1176|3775|41|3509.9|17493.73
143 ORLEANS|orleans143@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|604|3262|42.55|0.83|33.75|3.13|36.59|0.83|29.34|2.91|36.26|0.83|28.54|2.94|68|67|68|63|34|32|3073|515|1546|36|2574.5|14999.22
145 PARIS LES HALLES|Forum145@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|907|4523|31.31|0.11|18.13|1.75|21.72|0.11|14.19|1.26|19.18|0.44|11.76|2.43|98|120|108|122|82|100|2490|352|1168|14|1014.9|7427.5
149 PARIS RUE DE RENNES|ruederennes149@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|673|3621|20.80|0.45|22.76|2.49|16.64|0.45|18.86|1.96|6.69|0.15|8.37|1.77|120|108|120|105|123|114|3171|510|1452|18|2020.2|12034.2
153 LE HAVRE|Lehavrecoty153@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|826|3938|41.16|0.85|29.86|1.96|31.23|0.97|18.66|1.24|30.99|0.97|18.26|1.32|73|88|85|109|48|69|3532|489|1670|73|6249.9|17921.25
155 LORIENT|Lorien155@louispion.fr|ROLE_BOUTIQUE|David DESGARCEAUX|LOUIS PION|2016-05-01 00:00:00+02|779|3736|16.82|0.13|8.65|0.35|13.09|0.13|6.80|0.35|6.03|0.26|5.03|0.43|125|129|124|129|124|127|1001|168|466|6|87|420.2
156 MARSEILLE|marseillebourse156@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|276|1456|18.48|0.00|16.35|2.75|14.86|0.36|14.70|2.68|10.51|1.45|9.82|2.54|123|123|123|120|111|107|849|134|399|9|2718.1|5005.65
182 TROYES|Troyes182@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|0||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|134|135|134|135|134|135|1498|161|418|1|82|82
191 VAL D'EUROPE|valdeurope191@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|1257|5706|69.13|0.40|43.97|5.52|61.26|0.32|39.36|4.78|13.68|0.40|11.62|2.02|8|30|14|29|102|103|7418|972|3476|69|5606.7|22482.38
193 ANNECY|annecy193@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|833|4061|29.77|0.36|30.73|2.49|27.73|0.36|28.34|2.22|27.49|0.48|28.00|2.34|100|81|96|70|55|34|3112|574|1564|34|2385|12006.88
194 VILLENEUVE D'ASCQ|Villeneuve194@louispion.fr|ROLE_BOUTIQUE|Jérémie BOURGAIN|LOUIS PION|2016-05-01 00:00:00+02|826|3799|47.70|1.33|31.51|9.11|38.14|1.33|24.56|7.40|8.47|2.06|7.40|2.63|53|76|60|89|120|121|2307|343|1255|44|4035.2|10091.61
195 PAU LESCAR|pau195@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|707|3193|19.38|0.28|17.19|1.88|15.84|0.28|13.12|1.41|15.13|0.42|12.15|1.60|122|121|121|123|98|98|1415|218|708|15|978|4821.9
196 BELLE EPINE|belleepine196@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|628|3633|81.21|0.64|42.39|5.31|79.46|0.64|40.57|5.17|13.54|2.07|9.44|2.53|1|32|1|23|105|110|3969|447|1902|52|4395.3|18170.77
200 ROSNY|rosny200@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|617|3170|68.72|0.49|50.57|4.61|65.48|0.65|46.28|4.13|20.10|0.16|16.53|1.96|9|15|7|15|76|81|4556|714|2501|51|5808|18746.36
204 MARSEILLE|bonneveine204@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|274|1404|48.54|0.73|40.10|4.91|44.89|1.09|36.68|4.99|39.42|1.46|32.26|4.77|49|42|42|40|27|28|1492|239|740|17|959|3242.55
205 Montmartre|montmartre205@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|512|2915|37.11|0.39|26.48|3.46|32.42|0.39|23.64|3.26|9.18|0.20|6.59|1.41|84|99|82|94|118|123|1978|216|1018|16|1415.2|15231.6
206 Commerce|commerce206@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|648|3273|50.77|0.62|48.03|3.82|47.22|0.62|44.33|3.54|41.20|0.46|38.37|3.33|43|20|36|18|22|16|2617|512|1619|46|3935.8|12490.86
207 GARE DE L'EST|207garedelest@louispion.fr|ROLE_BOUTIQUE|Steve BENDJAICHE|LOUIS PION|2016-05-01 00:00:00+02|289|1993|41.87|1.04|37.63|9.18|37.37|1.04|33.37|8.23|6.92|2.42|5.87|3.91|72|51|66|51|122|125|2975|388|1203|16|1288|6531.67
209 TAVERNY|209taverny@louispion.fr|ROLE_BOUTIQUE|Stéphane MORICEAU|LOUIS PION|2016-05-01 00:00:00+02|689|3138|24.38|0.29|22.43|1.53|19.74|0.15|17.02|1.12|15.38|0.15|14.31|1.05|112|110|115|115|97|92|1484|264|842|23|2264.5|7442.89
